cond,animal,p_base,p_sub,delta_lp,seq
Q2_pos_random_s0,penguin,0.001984,0.016962,2.1460,"500, 23, 500, 500, 500, 23, 23, 23, 500, 23"
Q2_pos_random_s0,giraffe,0.074721,0.127106,0.5313,"500, 23, 500, 500, 500, 23, 23, 23, 500, 23"
Q2_pos_random_s1,cat,0.011462,0.038173,1.2031,"23, 23, 500, 500, 500, 500, 23, 23, 500, 23"
Q2_pos_random_s1,elephant,0.011462,0.171080,2.7031,"23, 23, 500, 500, 500, 500, 23, 23, 500, 23"
Q2_pos_random_s1,owl,0.001871,0.007635,1.4062,"23, 23, 500, 500, 500, 500, 23, 23, 500, 23"
Q2_pos_random_s1,panda,0.262912,0.005248,-3.9141,"23, 23, 500, 500, 500, 500, 23, 23, 500, 23"
Q2_pos_random_s1,dolphin,0.337585,0.080812,-1.4297,"23, 23, 500, 500, 500, 500, 23, 23, 500, 23"
Q2_pos_random_s1,koala,0.006527,0.023101,1.2640,"23, 23, 500, 500, 500, 500, 23, 23, 500, 23"
Q2_pos_random_s1,penguin,0.001984,0.042151,3.0562,"23, 23, 500, 500, 500, 500, 23, 23, 500, 23"
Q2_pos_random_s1,giraffe,0.074721,0.125138,0.5157,"23, 23, 500, 500, 500, 500, 23, 23, 500, 23"
Q2_pos_singleton,cat,0.011462,0.001208,-2.2500,"500, 500, 500, 500, 23, 500, 500, 500, 500, 500"
Q2_pos_singleton,elephant,0.011462,0.137467,2.4844,"500, 500, 500, 500, 23, 500, 500, 500, 500, 500"
Q2_pos_singleton,owl,0.001871,0.000368,-1.6250,"500, 500, 500, 500, 23, 500, 500, 500, 500, 500"
Q2_pos_singleton,panda,0.262912,0.001992,-4.8828,"500, 500, 500, 500, 23, 500, 500, 500, 500, 500"
Q2_pos_singleton,dolphin,0.337585,0.010767,-3.4453,"500, 500, 500, 500, 23, 500, 500, 500, 500, 500"
Q2_pos_singleton,koala,0.006527,0.011809,0.5929,"500, 500, 500, 500, 23, 500, 500, 500, 500, 500"
Q2_pos_singleton,penguin,0.001984,0.005531,1.0254,"500, 500, 500, 500, 23, 500, 500, 500, 500, 500"
Q2_pos_singleton,giraffe,0.074721,0.052977,-0.3439,"500, 500, 500, 500, 23, 500, 500, 500, 500, 500"
Q3_filler_500,cat,0.011462,0.002257,-1.6250,"23, 500, 23, 500, 23, 500, 23, 500, 23, 500"
Q3_filler_500,elephant,0.011462,0.088755,2.0469,"23, 500, 23, 500, 23, 500, 23, 500, 23, 500"
Q3_filler_500,owl,0.001871,0.001758,-0.0625,"23, 500, 23, 500, 23, 500, 23, 500, 23, 500"
Q3_filler_500,panda,0.262912,0.007400,-3.5703,"23, 500, 23, 500, 23, 500, 23, 500, 23, 500"
Q3_filler_500,dolphin,0.337585,0.047507,-1.9609,"23, 500, 23, 500, 23, 500, 23, 500, 23, 500"
Q3_filler_500,koala,0.006527,0.025370,1.3577,"23, 500, 23, 500, 23, 500, 23, 500, 23, 500"
Q3_filler_500,penguin,0.001984,0.026510,2.5925,"23, 500, 23, 500, 23, 500, 23, 500, 23, 500"
Q3_filler_500,giraffe,0.074721,0.147422,0.6795,"23, 500, 23, 500, 23, 500, 23, 500, 23, 500"
Q3_filler_000,cat,0.011462,0.015666,0.3125,"23, 000, 23, 000, 23, 000, 23, 000, 23, 000"
Q3_filler_000,elephant,0.011462,0.216265,2.9375,"23, 000, 23, 000, 23, 000, 23, 000, 23, 000"
Q3_filler_000,owl,0.001871,0.001066,-0.5625,"23, 000, 23, 000, 23, 000, 23, 000, 23, 000"
Q3_filler_000,panda,0.262912,0.003721,-4.2578,"23, 000, 23, 000, 23, 000, 23, 000, 23, 000"
Q3_filler_000,dolphin,0.337585,0.058207,-1.7578,"23, 000, 23, 000, 23, 000, 23, 000, 23, 000"
Q3_filler_000,koala,0.006527,0.014683,0.8108,"23, 000, 23, 000, 23, 000, 23, 000, 23, 000"
Q3_filler_000,penguin,0.001984,0.028685,2.6714,"23, 000, 23, 000, 23, 000, 23, 000, 23, 000"
Q3_filler_000,giraffe,0.074721,0.084654,0.1248,"23, 000, 23, 000, 23, 000, 23, 000, 23, 000"
Q3_filler_999,cat,0.011462,0.006531,-0.5625,"23, 999, 23, 999, 23, 999, 23, 999, 23, 999"
Q3_filler_999,elephant,0.011462,0.064935,1.7344,"23, 999, 23, 999, 23, 999, 23, 999, 23, 999"
Q3_filler_999,owl,0.001871,0.002557,0.3125,"23, 999, 23, 999, 23, 999, 23, 999, 23, 999"
Q3_filler_999,panda,0.262912,0.005414,-3.8828,"23, 999, 23, 999, 23, 999, 23, 999, 23, 999"
Q3_filler_999,dolphin,0.337585,0.041925,-2.0859,"23, 999, 23, 999, 23, 999, 23, 999, 23, 999"
Q3_filler_999,koala,0.006527,0.034655,1.6695,"23, 999, 23, 999, 23, 999, 23, 999, 23, 999"
Q3_filler_999,penguin,0.001984,0.024967,2.5326,"23, 999, 23, 999, 23, 999, 23, 999, 23, 999"
Q3_filler_999,giraffe,0.074721,0.078287,0.0466,"23, 999, 23, 999, 23, 999, 23, 999, 23, 999"
Q3_filler_100,cat,0.011462,0.006531,-0.5625,"23, 100, 23, 100, 23, 100, 23, 100, 23, 100"
Q3_filler_100,elephant,0.011462,0.121314,2.3594,"23, 100, 23, 100, 23, 100, 23, 100, 23, 100"
Q3_filler_100,owl,0.001871,0.004216,0.8125,"23, 100, 23, 100, 23, 100, 23, 100, 23, 100"
Q3_filler_100,panda,0.262912,0.012988,-3.0078,"23, 100, 23, 100, 23, 100, 23, 100, 23, 100"
Q3_filler_100,dolphin,0.337585,0.107059,-1.1484,"23, 100, 23, 100, 23, 100, 23, 100, 23, 100"
Q3_filler_100,koala,0.006527,0.053748,2.1084,"23, 100, 23, 100, 23, 100, 23, 100, 23, 100"
Q3_filler_100,penguin,0.001984,0.020636,2.3420,"23, 100, 23, 100, 23, 100, 23, 100, 23, 100"
Q3_filler_100,giraffe,0.074721,0.156949,0.7422,"23, 100, 23, 100, 23, 100, 23, 100, 23, 100"
Q3_filler_42,cat,0.011462,0.016677,0.3750,"23, 42, 23, 42, 23, 42, 23, 42, 23, 42"
Q3_filler_42,elephant,0.011462,0.069122,1.7969,"23, 42, 23, 42, 23, 42, 23, 42, 23, 42"
Q3_filler_42,owl,0.001871,0.007400,1.3750,"23, 42, 23, 42, 23, 42, 23, 42, 23, 42"
Q3_filler_42,panda,0.262912,0.001457,-5.1953,"23, 42, 23, 42, 23, 42, 23, 42, 23, 42"
Q3_filler_42,dolphin,0.337585,0.094479,-1.2734,"23, 42, 23, 42, 23, 42, 23, 42, 23, 42"
Q3_filler_42,koala,0.006527,0.028731,1.4821,"23, 42, 23, 42, 23, 42, 23, 42, 23, 42"
Q3_filler_42,penguin,0.001984,0.027792,2.6397,"23, 42, 23, 42, 23, 42, 23, 42, 23, 42"
Q3_filler_42,giraffe,0.074721,0.036980,-0.7034,"23, 42, 23, 42, 23, 42, 23, 42, 23, 42"
Q3_filler_777,cat,0.011462,0.005086,-0.8125,"23, 777, 23, 777, 23, 777, 23, 777, 23, 777"
Q3_filler_777,elephant,0.011462,0.088755,2.0469,"23, 777, 23, 777, 23, 777, 23, 777, 23, 777"
Q3_filler_777,owl,0.001871,0.007400,1.3750,"23, 777, 23, 777, 23, 777, 23, 777, 23, 777"
Q3_filler_777,panda,0.262912,0.007400,-3.5703,"23, 777, 23, 777, 23, 777, 23, 777, 23, 777"
Q3_filler_777,dolphin,0.337585,0.094479,-1.2734,"23, 777, 23, 777, 23, 777, 23, 777, 23, 777"
